activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codePostalEtablissement,departement,geometry,long,lat
47.61Z,rue,DE LA PAROISSE,VERSAILLES,78000,78,POINT (2.6962066 48.2766429),2.6962066,48.2766429
47.61Z,avenue,DE SAINT CLOUD,VERSAILLES,78000,78,POINT (2.3422794 48.8586729),2.3422794,48.8586729
47.61Z,,DE LA CHARITE,VERSAILLES,78000,78,POINT (2.344326 48.8908803),2.344326,48.8908803
47.61Z,avenue,DENFERT ROCHEREAU,PARIS 14,75014,75,POINT (2.4910843 48.8026489),2.4910843,48.8026489
47.61Z,avenue,DES GOBELINS,PARIS 13,75013,75,POINT (2.3111738 48.8734687),2.3111738,48.8734687
47.61Z,rue,DU JOURDAIN,PARIS 20,75020,75,POINT (2.3426479 48.8935007),2.3426479,48.8935007
47.61Z,rue,CONSTANT BERTHAUT,PARIS 20,75020,75,POINT (2.3426479 48.8935007),2.3426479,48.8935007
47.61Z,rue,DE SAUSSURE,PARIS 17,75017,75,POINT (2.3354311 48.8814158),2.3354311,48.8814158
47.61Z,rue,DE LA CATHEDRALE,VERSAILLES,78000,78,POINT (2.3410456 48.8465857),2.3410456,48.8465857
47.61Z,boulevard,SAINT MARTIN,PARIS 3,75003,75,POINT (2.2845688 48.8940987),2.2845688,48.8940987
47.61Z,avenue,MOZART,PARIS 16,75016,75,POINT (2.3089285 48.9701391),2.3089285,48.9701391
47.61Z,rue,MARTEL,L'ISLE ADAM,95290,95,POINT (2.3426944 48.8462406),2.3426944,48.8462406
47.61Z,rue,CUSTINE,PARIS 18,75018,75,POINT (2.1558101 48.902276),2.1558101,48.902276
47.61Z,rue,DE LA POURVOIERIE,VERSAILLES,78000,78,POINT (2.3565008 48.9395302),2.3565008,48.9395302
47.61Z,boulevard,DE CLICHY,PARIS 18,75018,75,POINT (2.3479718 48.8475248),2.3479718,48.8475248
47.61Z,boulevard,DE CLICHY,PARIS 18,75018,75,POINT (2.3509121 48.8868577),2.3509121,48.8868577
47.61Z,rue,DE CONDE,PARIS 6,75006,75,POINT (2.2822318 48.8428525),2.2822318,48.8428525
47.61Z,rue,DES MOINES,PARIS 17,75017,75,POINT (2.3140366 48.8160401),2.3140366,48.8160401
47.61Z,boulevard,SAINT GERMAIN,PARIS 7,75007,75,POINT (2.3214316 48.8738315),2.3214316,48.8738315
47.61Z,rue,DE TOLBIAC,PARIS 13,75013,75,POINT (2.358588 48.8787719),2.358588,48.8787719
47.61Z,avenue,OUTREBON,VILLEMOMBLE,93250,93,POINT (2.3469106 48.8626358),2.3469106,48.8626358
47.61Z,place,DES HAUTEURS DU LOING,NEMOURS,77140,77,POINT (2.5998627287292844 48.8082158),2.5998627287292844,48.8082158
47.61Z,quai,DU LOUVRE,PARIS 1,75001,75,POINT (2.3566883 48.8797254),2.3566883,48.8797254
47.61Z,rue,HERMEL,PARIS 18,75018,75,POINT (2.3270663 48.8808667),2.3270663,48.8808667
47.61Z,avenue,FOCH,SAINT-MAUR-DES-FOSSES,94100,94,POINT (2.3385453 48.8513559),2.3385453,48.8513559
47.61Z,rue,DE COURCELLES,PARIS 8,75008,75,POINT (2.3381955 48.9046422),2.3381955,48.9046422
47.61Z,rue,DU POTEAU,PARIS 18,75018,75,POINT (2.3829147 48.8943485),2.3829147,48.8943485
47.61Z,rue,DU POTEAU,PARIS 18,75018,75,POINT (2.336455 48.8492162),2.336455,48.8492162
47.61Z,rue,DE DOUAI,PARIS 9,75009,75,POINT (2.343631 48.8529342),2.343631,48.8529342
47.61Z,rue,GAY LUSSAC,PARIS 5,75005,75,POINT (2.343246 48.8518873),2.343246,48.8518873
