activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codeCommuneEtablissement,departement,geometry,long,lat
10.71C,rue,DES ECOUFFES,PARIS 4,75104,75,POINT (2.1250489 48.7994788),48.7994788,2.1250489
10.71C,rue,WASHINGTON,PARIS 8,75108,75,POINT (2.1244813 48.7997093),48.7997093,2.1244813
10.71C,boulevard,DE LA CHAPELLE,PARIS 18,75118,75,POINT (2.611432 48.7900796),48.7900796,2.611432
10.71C,rue,JULIETTE LAMBER,PARIS 17,75117,75,POINT (2.2887822 48.8908895),48.8908895,2.2887822
10.71C,rue,DES PYRENEES,PARIS 20,75120,75,POINT (2.4215609 48.8016916),48.8016916,2.4215609
10.71C,avenue,GASTON ROUSSEL,ROMAINVILLE,93063,93,POINT (2.2643932 48.821861),48.821861,2.2643932
10.71C,rue,CHARLES DE GAULLE,YERRES,91691,91,POINT (2.3533029 48.9974848),48.9974848,2.3533029
10.71C,avenue,GAMBETTA,BAGNOLET,93006,93,POINT (2.3180078 49.0070519),49.0070519,2.3180078
10.71C,rue,SOMMEVILLE,COMBS-LA-VILLE,77122,77,POINT (2.2726514 48.8571864),48.8571864,2.2726514
10.71C,place,ARISTIDE BRIAND,MANDRES-LES-ROSES,94047,94,POINT (2.6407717 48.5196202),48.5196202,2.6407717
10.71C,rue,DE LA TOUR,PARIS 16,75116,75,POINT (2.3788832 48.8596635),48.8596635,2.3788832
10.71C,rue,DUTOT,PARIS 15,75115,75,POINT (2.3703651 48.8576817),48.8576817,2.3703651
10.71C,rue,COLLIN,PUTEAUX,92062,92,POINT (2.2547577 48.9543995),48.9543995,2.2547577
10.71C,rue,DU MAL FOCH,VERSAILLES,78646,78,POINT (2.3910057 48.8499084),48.8499084,2.3910057
10.71C,rue,DU MAL FOCH,VERSAILLES,78646,78,POINT (2.3910057 48.8499084),48.8499084,2.3910057
10.71C,rue,DU GENERAL LECLERC,VERSAILLES,78646,78,POINT (2.1024591 49.0279688),49.0279688,2.1024591
10.71C,avenue,DES ANEMONES,PONTAULT-COMBAULT,77373,77,POINT (2.4045321 48.8631186),48.8631186,2.4045321
10.71C,place,HENRI BARBUSSE,LEVALLOIS-PERRET,92044,92,POINT (2.1556441 48.8870009),48.8870009,2.1556441
10.71C,rue,PAUL VAILLANT COUTURIER,ALFORTVILLE,94002,94,POINT (2.3547404 48.88726),48.88726,2.3547404
10.71C,avenue,VICTOR CRESSON,ISSY-LES-MOULINEAUX,92040,92,POINT (2.3510906 48.8953716),48.8953716,2.3510906
10.71C,rue,DE MONTMORENCY,SAINT-BRICE-SOUS-FORET,95539,95,POINT (2.0754511 49.0399586),49.0399586,2.0754511
10.71C,rue,RACINE,MONTMORENCY,95428,95,POINT (2.356524 48.8294546),48.8294546,2.356524
10.71C,avenue,MOZART,PARIS 16,75116,75,POINT (2.3494536 48.8368488),48.8368488,2.3494536
10.71C,,DU PAVE BLANC,CLAMART,92023,92,POINT (2.5318674 48.7810067),48.7810067,2.5318674
10.71C,avenue,STENDHAL,CLAMART,92023,92,POINT (2.2321071 48.8387904),48.8387904,2.2321071
10.71C,avenue,PARMENTIER,PARIS 11,75111,75,POINT (2.7362322 48.7407106),48.7407106,2.7362322
10.71C,rue,DE BUSSIERES,LA HOUSSAYE-EN-BRIE,77229,77,POINT (2.8875051 48.9581783),48.9581783,2.8875051
10.71C,boulevard,DE BELLEVILLE,PARIS 11,75111,75,POINT (2.8736131 48.9766872),48.9766872,2.8736131
10.71C,rue,DU CHEMIN VERT,PARIS 11,75111,75,POINT (2.3518984 48.8580226),48.8580226,2.3518984
10.71C,boulevard,JEAN ALLEMANE,ARGENTEUIL,95018,95,POINT (2.4681032 49.0387522),49.0387522,2.4681032
10.71C,rue,DES BOULETS,PARIS 11,75111,75,POINT (1.5204828 48.9456147),48.9456147,1.5204828
10.71C,rue,DU FBG SAINT DENIS,PARIS 10,75110,75,POINT (2.3426479 48.8935007),48.8935007,2.3426479
10.71C,avenue,EMILE DAMBEL,VILLEPINTE,93078,93,POINT (2.2501556 48.9462759),48.9462759,2.2501556
10.71C,rue,PELLEPORT,PARIS 20,75120,75,POINT (2.2262641 48.8221044),48.8221044,2.2262641
10.71C,place,MAURICE BERTEAUX,CHATOU,78146,78,POINT (2.2288817 48.7737911),48.7737911,2.2288817
10.71C,rue,MYRHA,PARIS 18,75118,75,POINT (2.371220416755617 48.65180115),48.65180115,2.371220416755617
10.71C,rue,CHAMPIONNET,PARIS 18,75118,75,POINT (2.3098791 48.8352227),48.8352227,2.3098791
10.71C,rue,DES CHENES BRUNS,CERGY,95127,95,POINT (2.4538529 48.783675),48.783675,2.4538529
10.71C,avenue,D'ITALIE,PARIS 13,75113,75,POINT (2.4090223 48.9194522),48.9194522,2.4090223
10.71C,boulevard,DE PORT ROYAL,PARIS 13,75113,75,POINT (2.3537546 48.8305074),48.8305074,2.3537546
10.71C,rue,GEORGES GUYNEMER,ORMESSON-SUR-MARNE,94055,94,POINT (2.456428 48.8839045),48.8839045,2.456428
10.71C,,DE LA REINE,BOULOGNE-BILLANCOURT,92012,92,POINT (2.5132244 48.7939031),48.7939031,2.5132244
10.71C,place,DE L EUROPE,BAILLY-ROMAINVILLIERS,77018,77,POINT (2.3710719 48.8541707),48.8541707,2.3710719
10.71C,rue,DE PARIS,GRETZ-ARMAINVILLIERS,77215,77,POINT (2.381124871226527 48.651343999999995),48.651343999999995,2.381124871226527
10.71C,place,LOUIS JOUVET,CREGY-LES-MEAUX,77143,77,POINT (2.2584511 48.9886666),48.9886666,2.2584511
10.71C,rue,DU RENARD,PARIS 4,75104,75,POINT (2.2974621 48.8672183),48.8672183,2.2974621
10.71C,rue,EUGENE VARLIN,GOUSSAINVILLE,95280,95,POINT (2.2518819530740393 48.8950863),48.8950863,2.2518819530740393
10.71C,rue,RENE DHAL,BREVAL,78107,78,POINT (2.276077 48.7297593),48.7297593,2.276077
10.71C,rue,CLAUDE BERNARD,PARIS 5,75105,75,POINT (2.2931066 48.8714913),48.8714913,2.2931066
10.71C,rue,DU CHEVALIER DE ST GEORGE,PARIS 8,75108,75,POINT (2.2071965 48.6988417),48.6988417,2.2071965
10.71C,rue,DU POTEAU,PARIS 18,75118,75,POINT (2.3460788 48.8633331),48.8633331,2.3460788
10.71C,rue,PIERRE JOLY,ARGENTEUIL,95018,95,POINT (2.3591776 48.8509303),48.8509303,2.3591776
10.71C,rue,MARCEL ALLEGOT,MEUDON,92048,92,POINT (2.3899118 48.8855518),48.8855518,2.3899118
10.71C,rue,DE PARIS,BIEVRES,91064,91,POINT (2.3345274 48.873319),48.873319,2.3345274
10.71C,place,DE LA TREILLE,GRIGNY,91286,91,POINT (2.3217255 48.8718651),48.8718651,2.3217255
10.71C,rue,CASTAGNARY,PARIS 15,75115,75,POINT (2.3867389 48.9203566),48.9203566,2.3867389
10.71C,rue,DU GENERAL DE LARMINAT,CRETEIL,94028,94,POINT (2.4240164 48.9856507),48.9856507,2.4240164
10.71C,avenue,PAUL VAILLANT COUTURIER,LA COURNEUVE,93027,93,POINT (2.3849794 48.8674556),48.8674556,2.3849794
10.71C,boulevard,AUGUSTE BLANQUI,PARIS 13,75113,75,POINT (2.336455 48.8492162),48.8492162,2.336455
10.71C,boulevard,DE VAUGIRARD,PARIS 15,75115,75,POINT (2.5411684 48.8065455),48.8065455,2.5411684
10.71C,rue,DE LA ROQUETTE,PARIS 11,75111,75,POINT (2.3746804 48.8428945),48.8428945,2.3746804
10.71C,place,DU DAMIER,GRIGNY,91286,91,POINT (2.3343602 48.8939071),48.8939071,2.3343602
10.71C,rue,DES BOIS,PARIS 19,75119,75,POINT (2.3243367 48.8499019),48.8499019,2.3243367
10.71C,rue,LUCIEN PERQUEL,MONTMORENCY,95428,95,POINT (2.0895165 49.0585836),49.0585836,2.0895165
10.71C,rue,DE STALINGRAD,ERMONT,95219,95,POINT (2.2663765 48.8448653),48.8448653,2.2663765
10.71C,rue,DE CHAILLOT,PARIS 16,75116,75,POINT (2.506267 48.8617412),48.8617412,2.506267
10.71C,place,CHARLES DE GAULLE,COURBEVOIE,92026,92,POINT (2.4015373 48.8599073),48.8599073,2.4015373
10.71C,rue,GABRIEL PERI,MASSY,91377,91,POINT (2.6585311 48.5417086),48.5417086,2.6585311
