activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codeCommuneEtablissement,departement,geometry,long,lat
47.22Z,rue,DE LA COURNEUVE,AUBERVILLIERS,93001,93,POINT (2.3894756 48.7087505),48.7087505,2.3894756
47.22Z,rue,DE NANTES,PARIS 19,75119,75,POINT (2.3208189 48.8330109),48.8330109,2.3208189
47.22Z,rue,BORDIER,AUBERVILLIERS,93001,93,POINT (2.5143079 48.909692),48.909692,2.5143079
47.22Z,rue,JEAN JAURES,TRAPPES,78621,78,POINT (2.356524 48.8294546),48.8294546,2.356524
47.22Z,rue,DU FBG SAINT DENIS,PARIS 10,75110,75,POINT (1.6326643 50.5203149),50.5203149,1.6326643
47.22Z,boulevard,MALESHERBES,PARIS 8,75108,75,POINT (2.5896489 48.6286494),48.6286494,2.5896489
47.22Z,rue,NOTRE DAME,LA FERTE-ALAIS,91232,91,POINT (2.4555312 49.0302742),49.0302742,2.4555312
47.22Z,avenue,DE L AQUEDUC,LA CELLE-SAINT-CLOUD,78126,78,POINT (2.3029258 48.8417684),48.8417684,2.3029258
47.22Z,rue,DE L'OLIVE,PARIS 18,75118,75,POINT (2.3485928 48.9368807),48.9368807,2.3485928
47.22Z,avenue,DE FLANDRE,PARIS 19,75119,75,POINT (2.1722112 48.4590612),48.4590612,2.1722112
47.22Z,avenue,DE PARIS,SOISY-SOUS-MONTMORENCY,95598,95,POINT (3.2445019 48.7017651),48.7017651,3.2445019
47.22Z,avenue,FERDINAND DE LESSEPS,MORANGIS,91432,91,POINT (2.3493935 48.90449),48.90449,2.3493935
47.22Z,avenue,DE LA GARE,VILLEPINTE,93078,93,POINT (2.7489645 48.8759871),48.8759871,2.7489645
47.22Z,rue,DE L'OLIVE,PARIS 18,75118,75,POINT (2.3913424 48.87786),48.87786,2.3913424
47.22Z,rue,SAINT HONORE,PARIS 1,75101,75,POINT (2.272517 48.9098282),48.9098282,2.272517
47.22Z,avenue,LONGUEIL,MAISONS-LAFFITTE,78358,78,POINT (2.4171718 48.8060617),48.8060617,2.4171718
47.22Z,rue,MARCELLE LAGET,ARGENTEUIL,95018,95,POINT (2.390074 48.9034718),48.9034718,2.390074
47.22Z,rue,DU CORBILLON,SAINT-DENIS,93066,93,POINT (2.2751919 48.8600618),48.8600618,2.2751919
47.22Z,rue,DE GASCOGNE,SARCELLES,95585,95,POINT (2.3063483 48.8272914),48.8272914,2.3063483
47.22Z,rue,DE COURCELLES,PARIS 17,75117,75,POINT (2.3408664 48.9077713),48.9077713,2.3408664
47.22Z,avenue,DE STALINGRAD,ACHERES,78005,78,POINT (2.3607863 48.9656802),48.9656802,2.3607863
47.22Z,rue,DOUDEAUVILLE,PARIS 18,75118,75,POINT (2.3968497 48.7783132),48.7783132,2.3968497
47.22Z,avenue,PIERRE SEMARD,ARNOUVILLE,95019,95,POINT (2.281442 48.9188182),48.9188182,2.281442
47.22Z,rue,HEBERT,CLAMART,92023,92,POINT (1.8534969 48.9566903),48.9566903,1.8534969
47.22Z,rue,POIRIER DE NARCAY,PARIS 14,75114,75,POINT (2.4570576 48.9356979),48.9356979,2.4570576
