activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codePostalEtablissement,departement,geometry,long,lat
47.73Z,rue,EUGENE DELACROIX,AULNAY-SOUS-BOIS,93600,93,POINT (2.3805761792358364 48.82706345),2.3805761792358364,48.82706345
47.73Z,rue,TEDDY RINER,ASNIERES-SUR-SEINE,92600,92,POINT (1.7035726 48.9784501),1.7035726,48.9784501
47.73Z,rue,CHARLES DE GAULLE,YERRES,91330,91,POINT (2.25261 48.8814964),2.25261,48.8814964
47.73Z,place,JACQUES BREL,GUYANCOURT,78280,78,POINT (2.4765648 48.8398895),2.4765648,48.8398895
47.73Z,avenue,THEOPHILE GAUTIER,PARIS 16,75016,75,POINT (2.2924553 48.8717893),2.2924553,48.8717893
47.73Z,avenue,HIPPOLYTE CAILLAT,VILLENEUVE-LE-ROI,94290,94,POINT (2.4302566 48.8439627),2.4302566,48.8439627
47.73Z,rue,DE LA PAROISSE,CHATOU,78400,78,POINT (2.5132244 48.7939031),2.5132244,48.7939031
47.73Z,rue,FELIX MERLIN,EPINAY-SUR-SEINE,93800,93,POINT (2.7362322 48.7407106),2.7362322,48.7407106
47.73Z,place,DE LA RESIDENCE,ANTONY,92160,92,POINT (2.2923262 48.9101835),2.2923262,48.9101835
47.73Z,chemin,DES VIGNES,LES CLAYES-SOUS-BOIS,78340,78,POINT (2.5454259 48.9640057),2.5454259,48.9640057
47.73Z,avenue,CHARLES DE GAULLE,BRETIGNY-SUR-ORGE,91220,91,POINT (2.4910409 48.9010547),2.4910409,48.9010547
47.73Z,allée,DU DOCTEUR EMILE ROUX,BONNEUIL-SUR-MARNE,94380,94,POINT (2.3184076 48.7875104),2.3184076,48.7875104
47.73Z,rue,DE BEZONS,COURBEVOIE,92400,92,POINT (2.2523173 48.7682381),2.2523173,48.7682381
47.73Z,rue,DU PDT SALVADOR ALLENDE,COLOMBES,92700,92,POINT (2.6760195 49.072777),2.6760195,49.072777
47.73Z,rue,GEORGES CLEMENCEAU,VERSAILLES,78000,78,POINT (2.3468908 48.8651237),2.3468908,48.8651237
