activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codePostalEtablissement,departement,geometry,long,lat
10.71C,rue,DE GRENOBLE,ALFORTVILLE,94140,94,POINT (48.8632024 2.3684923),2.3684923,48.8632024
10.71C,,NATIONALE ,LARDY,91510,91,POINT (48.9151717 2.2331834),2.2331834,48.9151717
10.71C,allée,JULES VEDRINES,CLICHY-SOUS-BOIS,93390,93,POINT (48.8470475 2.4382717),2.4382717,48.8470475
10.71C,rue,DE LA REGALE,COURTRY,77181,77,POINT (48.8486812 2.3721101),2.3721101,48.8486812
10.71C,rue,DE PARIS,TORCY,77200,77,POINT (48.6366161 2.3226212),2.3226212,48.6366161
10.71C,rue,DES VALLEES,COLOMBES,92700,92,POINT (48.8798465 2.3253498),2.3253498,48.8798465
10.71C,rue,DE VOUILLE,PARIS 15,75015,75,POINT (48.8850945 2.3265353),2.3265353,48.8850945
10.71C,avenue,DE LA LIBERTE,MAISONS-ALFORT,94700,94,POINT (48.9120158 2.379758),2.379758,48.9120158
10.71C,place,TRUDAINE,MONTIGNY-LENCOUP,77520,77,POINT (48.9077713 2.3408664),2.3408664,48.9077713
10.71C,place,GEORGES MARCHAIS,CHAMPIGNY-SUR-MARNE,94500,94,POINT (49.0312757 2.4617121),2.4617121,49.0312757
10.71C,rue,DU GENERAL LECLERC,BRIE-COMTE-ROBERT,77170,77,POINT (48.7681117 2.031699),2.031699,48.7681117
10.71C,rue,FALGUIERE,PARIS 15,75015,75,POINT (48.8343882 2.3455628),2.3455628,48.8343882
10.71C,place,JEAN JAURES,MONTREUIL,93100,93,POINT (48.7884979 2.5312406),2.5312406,48.7884979
10.71C,boulevard,DIDEROT,PARIS 12,75012,75,POINT (48.8752068 2.3352775),2.3352775,48.8752068
10.71C,boulevard,NEY,PARIS 18,75018,75,POINT (48.8733591 2.4837217),2.4837217,48.8733591
10.71C,rue,ROBERT SPINEDI,CORBEIL-ESSONNES,91100,91,POINT (48.76970205 2.4558319074359485),2.4558319074359485,48.76970205
10.71C,rue,DE LA MAIRIE,CHAMPLAN,91160,91,POINT (48.9336827 2.5037254),2.5037254,48.9336827
10.71C,avenue,PAUL VAILLANT COUTURIER,LA COURNEUVE,93120,93,POINT (48.4868159 2.7574433),2.7574433,48.4868159
10.71C,rue,MARCEL BONTEMPS,BOULOGNE-BILLANCOURT,92100,92,POINT (48.9699013 2.3871228),2.3871228,48.9699013
10.71C,place,GEORGES POMPIDOU,CLAMART,92140,92,POINT (48.8465142 2.3020372),2.3020372,48.8465142
10.71C,allée,EDITH PIAF,BONNEUIL-SUR-MARNE,94380,94,POINT (48.4590612 2.1722112),2.1722112,48.4590612
10.71C,rue,JEAN JAURES,PUTEAUX,92800,92,POINT (48.7755881 2.4622952),2.4622952,48.7755881
10.71C,avenue,DE LA COURTILLIERE,SAINT-THIBAULT-DES-VIGNES,77400,77,POINT (48.678563 2.1737215),2.1737215,48.678563
10.71C,avenue,GABRIEL PERI,ARGENTEUIL,95100,95,POINT (48.9308767 2.4298345),2.4298345,48.9308767
10.71C,avenue,GABRIEL PERI,BEZONS,95870,95,POINT (48.9638915 2.5345101),2.5345101,48.9638915
10.71C,rue,DE SEVIGNE,CHAMPIGNY-SUR-MARNE,94500,94,POINT (48.8968769 2.2555681),2.2555681,48.8968769
10.71C,avenue,DU PONT ROYAL,CACHAN,94230,94,POINT (48.6505833 2.3299585),2.3299585,48.6505833
10.71C,avenue,EUGENE THOMAS,LE KREMLIN-BICETRE,94270,94,POINT (48.9406801 2.5704687),2.5704687,48.9406801
10.71C,rue,DE STALINGRAD,ERMONT,95120,95,POINT (48.8130624 2.5057658),2.5057658,48.8130624
10.71C,avenue,CHARLES ROUXEL,PONTAULT-COMBAULT,77340,77,POINT (48.8770896 2.3444789),2.3444789,48.8770896
10.71C,avenue,DE L HIPPODROME,LA QUEUE-EN-BRIE,94510,94,POINT (48.8901897 2.2561191),2.2561191,48.8901897
10.71C,rue,JACQUES DUCLOS,AULNAY-SOUS-BOIS,93600,93,POINT (48.786441 2.2934131),2.2934131,48.786441
