activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codeCommuneEtablissement,departement,geometry,long,lat
47.61Z,avenue,DENFERT ROCHEREAU,PARIS 14,75114,75,POINT (2.3356024 48.8376632),2.3356024,48.8376632
47.61Z,avenue,DES GOBELINS,PARIS 13,75113,75,POINT (2.3515145 48.8377218),2.3515145,48.8377218
47.61Z,rue,DU JOURDAIN,PARIS 20,75120,75,POINT (2.3895284 48.8739013),2.3895284,48.8739013
47.61Z,rue,CONSTANT BERTHAUT,PARIS 20,75120,75,POINT (2.3892151 48.8745158),2.3892151,48.8745158
47.61Z,rue,DE SAUSSURE,PARIS 17,75117,75,POINT (2.3106608 48.8881083),2.3106608,48.8881083
47.61Z,rue,DE LA CATHEDRALE,VERSAILLES,78646,78,POINT (2.124916242408922 48.7992653),2.124916242408922,48.7992653
47.61Z,boulevard,SAINT MARTIN,PARIS 3,75103,75,POINT (2.3616651 48.8679032),2.3616651,48.8679032
47.61Z,avenue,MOZART,PARIS 16,75116,75,POINT (2.2726514 48.8571864),2.2726514,48.8571864
47.61Z,rue,MARTEL,L'ISLE ADAM,95313,95,POINT (2.2149828 49.1101927),2.2149828,49.1101927
47.61Z,rue,CUSTINE,PARIS 18,75118,75,POINT (2.347903 48.8885709),2.347903,48.8885709
47.61Z,rue,DE LA POURVOIERIE,VERSAILLES,78646,78,POINT (2.1323368 48.8071047),2.1323368,48.8071047
47.61Z,boulevard,DE CLICHY,PARIS 18,75118,75,POINT (2.3378415 48.88251),2.3378415,48.88251
47.61Z,boulevard,DE CLICHY,PARIS 18,75118,75,POINT (2.3378415 48.88251),2.3378415,48.88251
47.61Z,rue,DE CONDE,PARIS 6,75106,75,POINT (2.3382859 48.8515659),2.3382859,48.8515659
47.61Z,rue,DES MOINES,PARIS 17,75117,75,POINT (2.318765 48.8882843),2.318765,48.8882843
47.61Z,boulevard,SAINT GERMAIN,PARIS 7,75107,75,POINT (2.3550589 48.8492795),2.3550589,48.8492795
47.61Z,rue,DE TOLBIAC,PARIS 13,75113,75,POINT (2.3750256 48.8295117),2.3750256,48.8295117
47.61Z,avenue,OUTREBON,VILLEMOMBLE,93077,93,POINT (2.5108879 48.8859103),2.5108879,48.8859103
47.61Z,place,DES HAUTEURS DU LOING,NEMOURS,77333,77,POINT (2.6962066 48.2766429),2.6962066,48.2766429
47.61Z,quai,DU LOUVRE,PARIS 1,75101,75,POINT (2.3422794 48.8586729),2.3422794,48.8586729
47.61Z,rue,HERMEL,PARIS 18,75118,75,POINT (2.344326 48.8908803),2.344326,48.8908803
47.61Z,avenue,FOCH,SAINT-MAUR-DES-FOSSES,94068,94,POINT (2.4910843 48.8026489),2.4910843,48.8026489
47.61Z,rue,DE COURCELLES,PARIS 8,75108,75,POINT (2.3111738 48.8734687),2.3111738,48.8734687
47.61Z,rue,DU POTEAU,PARIS 18,75118,75,POINT (2.3426479 48.8935007),2.3426479,48.8935007
47.61Z,rue,DU POTEAU,PARIS 18,75118,75,POINT (2.3426479 48.8935007),2.3426479,48.8935007
47.61Z,rue,DE DOUAI,PARIS 9,75109,75,POINT (2.3354311 48.8814158),2.3354311,48.8814158
47.61Z,rue,GAY LUSSAC,PARIS 5,75105,75,POINT (2.3410456 48.8465857),2.3410456,48.8465857
47.61Z,rue,CARNOT,LEVALLOIS-PERRET,92044,92,POINT (2.2845688 48.8940987),2.2845688,48.8940987
47.61Z,rue,ROBERT SCHUMAN,ENGHIEN-LES-BAINS,95210,95,POINT (2.3089285 48.9701391),2.3089285,48.9701391
